name,address,metro,price,area,price_per_sqm,district
Сдается помещение свободного назначения,"Павелецкая пл. , 1",Павелецкая,11970000.0,285.0,42000.0,ЦАО
Сдается торговая площадь,"Бутырская ул. , 4",Савеловская,2999988.0,36.0,83333.0,Другое
Сдается помещение свободного назначения,"Севастопольский просп. , 10К4",Крымская,1800000.0,60.0,30000.0,Другое
Сдается помещение свободного назначения,"Щербаковская ул. , 40",Семеновская,3599871.0,155.1,23210.0,Другое
Сдается помещение свободного назначения,"Люблинская ул. , 72Ак1",Братиславская,1351788.0,88.7,15240.0,ЮВАО
Сдается помещение свободного назначения,"Луков пер. , 8",Сретенский бульвар,10319616.0,432.0,23888.0,Другое
Сдается торговая площадь,"Марка Шагала наб. , 11к2",Автозаводская,1800000.0,30.0,60000.0,ЮАО
Сдается торговая площадь,"Дмитрия Ульянова ул. , 10/1К1",Академическая,2040000.0,20.0,102000.0,ЮЗАО
Сдается помещение свободного назначения,"Почтовая Большая ул. , 28к4",Электрозаводская,1199968.0,44.0,27272.0,ВАО
Сдается торговая площадь,"Жулебинский бул. , 36К2",Жулебино,2999987.0,44.79999701332059,66964.0,Другое
Сдается помещение свободного назначения,"Мира просп. , 116",Алексеевская,10199750.0,201.5999920939242,50594.0,СВАО
Сдается торговая площадь,"Куликовская ул. , 6",Бульвар Дмитрия Донского,914962.0,40.100013148091335,22817.0,Другое
Сдается торговая площадь,"Куликовская ул. , 6",Бульвар Дмитрия Донского,920388.0,42.0,21914.0,Другое
Сдается помещение свободного назначения,"Туристская ул. , 16к4",Сходненская,2399840.0,80.0,29998.0,СЗАО
Сдается торговая площадь,"Марка Шагала наб. , 11к2",Автозаводская,1199940.0,105.0,11428.0,ЮАО
Сдается офис,"Ильинка ул. , 4",Площадь Революции,8999945.0,184.80000410669186,48701.0,ЦАО
Сдается помещение свободного назначения,"Производственная ул. , 19Ак3",Солнцево,1559952.0,55.2,28260.0,Другое
Сдается торговая площадь,"Марка Шагала наб. , 11к2",Автозаводская,2879940.0,70.0,41142.0,ЮАО
Сдается торговая площадь,"Куликовская ул. , 6",Бульвар Дмитрия Донского,1537176.0,57.0,26968.0,Другое
Сдается торговая площадь,"Марка Шагала наб. , 11к2",Автозаводская,3599925.0,105.0,34285.0,ЮАО
Сдается торговая площадь,"Куликовская ул. , 6",Бульвар Дмитрия Донского,1079993.0,39.39998540731823,27411.0,Другое
Сдается предприятие питания,"Широкая ул. , 11",Медведково,150000.0,6.0,25000.0,СВАО
Сдается помещение свободного назначения,"Серпуховская Большая ул. , 14/13С1",Серпуховская,73000.0,20.69747660901616,3527.0,Другое
Сдается офис,"Красный Балтиец метро (МЦД-2) ( Северный адм. округ ) Академическая Большая ул.                        , 5",Красный Балтиец,72522.0,20.4,3555.0,СВАО
Сдается офис,"Тверская ул. , 12С2",Тверская,342500.0,102.79111644657863,3332.0,ЦАО
Сдается офис,"Минская ул. , 2Ж",Минская,118000.0,40.0,2950.0,ЗАО
Сдается помещение свободного назначения,"Сельскохозяйственная ул. , 26С1",Ботанический сад,369000.0,61.5,6000.0,СВАО
Сдается офис,"Тверская ул. , 12С2",Тверская,166000.0,55.2964690206529,3002.0,ЦАО
Сдается офис,"Тверская ул. , 12",Тверская,92000.0,30.59527768540073,3007.0,ЦАО
Сдается офис,Академическая Большая ул.,Коптево,111271.0,31.29985935302391,3555.0,Другое
Сдается помещение свободного назначения,"Сходненская ул. , 25",Сходненская,299000.0,73.30227997058103,4079.0,СЗАО
Сдается помещение свободного назначения,"Дмитровское ш. , 73С1",Верхние Лихоборы,42000.0,14.0,3000.0,Другое
Сдается помещение свободного назначения,"Горчакова ул. , 11",Улица Горчакова,350000.0,100.0,3500.0,Другое
Сдается офис,"Тверская ул. , 12С2",Тверская,95000.0,31.40495867768595,3025.0,ЦАО
Сдается офис,"Красный Балтиец метро (МЦД-2) ( Северный адм. округ ) ЖК ""SOUL (Соул)""",Красный Балтиец,126913.0,35.69985935302391,3555.0,СВАО
Сдается помещение свободного назначения,"Лихачёва просп. , 5",ЗИЛ,2716425.0,1207.3,2250.0,Другое
Сдается помещение свободного назначения,"Померанцев пер. , 10-12",Парк культуры,450000.0,125.48800892359175,3586.0,ЦАО
Сдается помещение свободного назначения,"Сельскохозяйственная ул. , 26С1",Ботанический сад,271200.0,45.2,6000.0,СВАО
Сдается помещение свободного назначения,"Сельскохозяйственная ул. , 26С4",Ботанический сад,3080700.0,684.6,4500.0,СВАО
Сдается помещение свободного назначения,"Кутузовский просп. , 12",Киевская,450000.0,48.0,9375.0,ЦАО
Сдается помещение свободного назначения,"Вокзальный пер. , 4",Войковская,100000.0,52.00208008320333,1923.0,САО
Сдается помещение свободного назначения,"Профсоюзная ул. , 96",Беляево,150000.0,75.0,2000.0,ЮЗАО
